category,question,answer
pay-via-upi,what type of payments can i make with jupiter upi?,"you can send money, pay contacts, scan qr codes at stores, and shop online—securely and instantly."
pay-via-upi,do i need to open a jupiter savings account to use upi?,"no, you can use jupiter upi with your existing bank account by linking it on the jupiter app."
pay-via-upi,what rewards do i get with my edge csb bank rupay credit card?,you can get 2% cashback on upi & credit card spends with the edge csb bank rupay credit card.
pay-via-upi,can i send money to contacts using other upi apps?,absolutely. jupiter lets you send money to anyone—regardless of the upi app they use.
pay-via-upi,what is upi lite and how does it work?,"upi lite lets you make small-value payments without entering your upi pin (up to ₹5,000). it’s perfect for"
pay-via-upi,is there a limit on upi transactions?,"to ensure safety of your transactions, npci has set the maximum daily upi payments limit to ₹1 lakh."
bills-recharges,what types of bills can i pay on jupiter?,"you can pay your credit card bills, electricity, dth, broadband, water, gas, mobile prepaid, and more—all in"
bills-recharges,what payment modes can i use to pay bills on jupiter?,"you can pay bills through bank transfers linked to your federal bank savings account, upi, or your rupay"
bills-recharges,do i get rewards for bill payments?,yes! you earn jewels for every eligible bill and recharge made with jupiter.
bills-recharges,what are jewels and how do they work?,jewels are credits you earn when you make eligible payments with jupiter. you can redeem them in cash for
bills-recharges,how do i activate autopay?,"to set up autopay for bills & recharges, use your jupiter upi id as a default payment method on the"
bills-recharges,do i need to upload any documents or enter bill details manually each time?,"no paperwork needed! just link your billing merchant once, and your dues automatically in the future."
bills-recharges,can i track my past payments?,"yes, your entire payment history is available under the ‘bills & recharges’ section in the app."
rewards,how do i earn jewels on jupiter?,"you earn jewels when you spend using jupiter—whether it’s with upi, your debit card, or linked credit cards."
rewards,what can i redeem jewels for?,you can choose from the following loan options:
rewards,how fast can i redeem jewels on jupiter?,"yes, you can redeem the jewels instantly. you can convert them to cash, gold, vouchers or use them to get"
rewards,linked accounts or cards?,yes! for example:
rewards,do the earned jewels expire?,"your jewels are safe and redeemable directly on the jupiter app. expiry terms, if any, are clearly shown"
investments,available on jupiter?,you can invest in the following:
investments,account to invest on jupiter?,"yes, you need to open a savings account to invest in mutual funds, magic spends or fixed deposits. but, you"
investments,mutual funds on jupiter?,"no, jupiter doesn't charge any commissions or extra fees on mutual funds"
investments,how do no-penalty sips work on jupiter ?,no-penalty sips let you skip sips without having to pay any extra charges
investments,what is ‘magic spends’ and how does it work?,"magic spends lets you auto-invest small amounts (like ₹10 or more) every time you spend, turning your daily"
investments,can i withdraw from fixed deposits before maturity?,"yes, flexifd lets you withdraw money in parts without having to break your full fd."
investments,is my money safe when i invest on jupiter?,"yes. jupiter partners with trusted amcs, rbi-regulated entities, and sebi-compliant platforms to ensure your"
