method,top_k,query,gold,prediction,time_s,accuracy
retrieval_only,1,mini loan section is not working. the screen loading for hours,when i click on mini loan the fetching details screen loading endlessly,when i click on mini loan the fetching details screen loading endlessly,3.8285860999999386,100.0
llm_augmented,1,mini loan section is not working. the screen loading for hours,when i click on mini loan the fetching details screen loading endlessly,when i click on mini loan the fetching details screen loading endlessly,2.537725500000306,100.0
retrieval_only,1,cibil score tracking,please initiate cibil score monitoring.,please initiate cibil score monitoring.,7.264073600000302,100.0
llm_augmented,1,cibil score tracking,please initiate cibil score monitoring.,please initiate cibil score monitoring.,2.433175900000151,100.0
retrieval_only,1,"folks who are good at saving money, what’s your mindset?","question - what do you tell yourself when you really want to take that expensive trip or continue using your old gear (old phone, car, clothes etc).
banner
3240×3240 202 kb
any suggestions on how you make your controlled decisions?
situation 1 - you have a fully functional smartphone and it meets your satisfaction. however, there’s a new model in the market with upgraded tech, looks classy too.
would you spend a few extra bucks to get minor upgrades? or do you convince yourself that its not that important?
asking for a friend.","question - what do you tell yourself when you really want to take that expensive trip or continue using your old gear (old phone, car, clothes etc).
banner
3240×3240 202 kb
any suggestions on how you make your controlled decisions?
situation 1 - you have a fully functional smartphone and it meets your satisfaction. however, there’s a new model in the market with upgraded tech, looks classy too.
would you spend a few extra bucks to get minor upgrades? or do you convince yourself that its not that important?
asking for a friend.",2.309092800000144,100.0
llm_augmented,1,"folks who are good at saving money, what’s your mindset?","question - what do you tell yourself when you really want to take that expensive trip or continue using your old gear (old phone, car, clothes etc).
banner
3240×3240 202 kb
any suggestions on how you make your controlled decisions?
situation 1 - you have a fully functional smartphone and it meets your satisfaction. however, there’s a new model in the market with upgraded tech, looks classy too.
would you spend a few extra bucks to get minor upgrades? or do you convince yourself that its not that important?
asking for a friend.","question - what do you tell yourself when you really want to take that expensive trip or continue using your old gear (old phone, car, clothes etc).
banner
3240×3240 202 kb
any suggestions on how you make your controlled decisions?
situation 1 - you have a fully functional smartphone and it meets your satisfaction. however, there’s a new model in the market with upgraded tech, looks classy too.
would you spend a few extra bucks to get minor upgrades? or do you convince yourself that its not that important?
asking for a friend.",2.228725100000247,100.0
retrieval_only,1,superpots removed,superpot is removed,superpot is removed,7.040084499999921,100.0
llm_augmented,1,superpots removed,superpot is removed,superpot is removed,2.4602310999998735,100.0
retrieval_only,1,isn't the pot creation going to be easy as was it before,"i see any new pot creation takes me to kyc and i’m trying to create a pot for more than 2 month and i’m still unable to complete as it keeps loading and doesn’t take me to approval process.
moreover this method is too time taking, isn’t the pot creation going to be easy as was it before ?","i see any new pot creation takes me to kyc and i’m trying to create a pot for more than 2 month and i’m still unable to complete as it keeps loading and doesn’t take me to approval process.
moreover this method is too time taking, isn’t the pot creation going to be easy as was it before ?",2.3195669000001544,100.0
llm_augmented,1,isn't the pot creation going to be easy as was it before,"i see any new pot creation takes me to kyc and i’m trying to create a pot for more than 2 month and i’m still unable to complete as it keeps loading and doesn’t take me to approval process.
moreover this method is too time taking, isn’t the pot creation going to be easy as was it before ?","i see any new pot creation takes me to kyc and i’m trying to create a pot for more than 2 month and i’m still unable to complete as it keeps loading and doesn’t take me to approval process.
moreover this method is too time taking, isn’t the pot creation going to be easy as was it before ?",2.5007124000003387,100.0
retrieval_only,1,how to buy metal debit card,how can i order it!,how can i order it!,2.439187200000106,100.0
llm_augmented,1,how to buy metal debit card,how can i order it!,how can i order it!,2.3938736000000063,100.0
retrieval_only,1,do i get rewards for bill payments?,yes! you earn jewels for every eligible bill and recharge made with jupiter.,yes! you earn jewels for every eligible bill and recharge made with jupiter.,2.418014000000312,100.0
